Device,C1_2,,Device,C1(SV1)_2,,Device,C1(SV2)_2,,Device,C3_4,,Device,C3(SV2)_4,,Device,C3(SV1)_4,,Device,C5_6,,Device,C5(SV1)_6,,Device,C5(SV2)_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48357354,0.049096348,0.023741695,0.48364982,0.019587976,0.009473721,0.48363992,0.012787764,0.006184673,0.4834259,0.04910733,0.023739755,0.48357276,0.012567508,0.006077305,0.48355064,0.019282628,0.009324127,0.48340454,0.049787836,0.024067666,0.48351974,0.019252076,0.009308759,0.48354416,0.012780714,0.00618004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.52386284,0.049098372,0.025720813,0.5239376,0.019582458,0.010259986,0.5239235,0.012793994,0.006703074,0.52371062,0.049045156,0.025685469,0.52385598,0.0125893,0.00659498,0.52383346,0.019278126,0.010098527,0.52368698,0.049756902,0.026057042,0.52380066,0.01922942,0.010072383,0.52382966,0.012786694,0.00669805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56415634,0.049129962,0.02771698,0.5642315,0.019567072,0.011040358,0.5642212,0.012800624,0.007222383,0.56400336,0.049070864,0.027676132,0.5641533,0.012589178,0.007102226,0.56413268,0.01926859,0.010870041,0.56398848,0.049723434,0.028043444,0.56409798,0.019230068,0.010847643,0.56412546,0.012792236,0.007216426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60445212,0.049130304,0.029696916,0.60452996,0.019536046,0.011810125,0.6045208,0.012794376,0.007734466,0.60430106,0.049072214,0.029654391,0.6044529,0.012593526,0.007612193,0.60443268,0.01925352,0.011637457,0.60429,0.049736532,0.030055289,0.60439834,0.019221148,0.01161723,0.6044224,0.012794078,0.007733027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64476432,0.049123862,0.031673313,0.64484138,0.019524322,0.012590091,0.6448307,0.01279296,0.008249293,0.64460866,0.049085896,0.031641194,0.64476166,0.012593302,0.008119678,0.64474182,0.019230154,0.012398484,0.64459608,0.049747944,0.03206733,0.64470292,0.019223604,0.012393514,0.64473116,0.012797008,0.00825063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68498534,0.049126482,0.03365092,0.68506202,0.019535928,0.013383322,0.68505248,0.01279835,0.008767541,0.68482702,0.049076198,0.033608706,0.68498308,0.01257987,0.008616998,0.684964,0.019207894,0.013156716,0.68481596,0.049704464,0.03403841,0.68492546,0.019225,0.013167692,0.68495294,0.012788048,0.008759211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.72529678,0.04915008,0.035648395,0.72537536,0.019533946,0.014169443,0.72536926,0.012786182,0.009274703,0.7251457,0.049061626,0.035576827,0.72530098,0.012567328,0.009115095,0.72528154,0.019189596,0.01391786,0.72513616,0.049669464,0.036017124,0.72524032,0.019229856,0.013946267,0.7252678,0.012782706,0.009270885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.76552392,0.049137566,0.037615982,0.76560248,0.01950797,0.01493535,0.76559258,0.012780746,0.009784844,0.76537512,0.04902524,0.037522699,0.76552582,0.012563024,0.009617319,0.76550562,0.019188772,0.014689113,0.76536292,0.049672588,0.038017557,0.76546362,0.019215746,0.014708954,0.76549262,0.01277233,0.009777124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.80582734,0.04911151,0.039575397,0.80590134,0.019487672,0.015705141,0.80589256,0.012781582,0.010300582,0.8056713,0.04901616,0.039490913,0.80582582,0.012567,0.010126813,0.80580256,0.019206528,0.015476669,0.80566176,0.049660232,0.04000935,0.80576132,0.019216102,0.015483592,0.805793,0.012774926,0.010293946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.84603692,0.04909824,0.041538924,0.84611244,0.01949638,0.01649613,0.84610404,0.012765686,0.010801098,0.84587898,0.049033226,0.041476175,0.84603806,0.012565286,0.01063071,0.8460152,0.019215398,0.016256519,0.84587554,0.049665238,0.04201061,0.84597204,0.019201168,0.016243651,0.8460041,0.012782064,0.010813679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
