Device,C1,,Device,C2,,Device,C3,,Device,C4,,Device,C5,,Device,C6,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W]
0.45157662,0.050062128,0.022606887,0.45152246,0.049836746,0.02250241,0.45151672,0.049488814,0.022345027,0.45149154,0.05059314,0.022842375,0.45148586,0.050085156,0.02261274,0.45146942,0.0507793,0.022925301
0.47039948,0.050047534,0.023542334,0.47034454,0.049863928,0.023453226,0.4703453,0.049417512,0.023243295,0.47031478,0.050632012,0.023812984,0.4703133,0.050105344,0.02356521,0.47029076,0.050823086,0.023901628
0.4891529,0.05000298,0.024459103,0.48910712,0.049877068,0.024395229,0.48909492,0.049383812,0.024153372,0.48907508,0.050651282,0.02477228,0.48907092,0.05012053,0.024512494,0.48904724,0.050780388,0.024834009
0.50798072,0.050002646,0.02540038,0.50793456,0.049906838,0.025349408,0.5079174,0.049381684,0.025081817,0.50790214,0.050639614,0.025719968,0.50789378,0.050140706,0.025466153,0.50787468,0.050806036,0.025803099
0.5268131,0.050022734,0.026352632,0.52676008,0.049848014,0.026257944,0.52674256,0.049373896,0.026007332,0.52672654,0.050624308,0.026665167,0.52671626,0.050161696,0.026420981,0.52670288,0.05077826,0.026745056
0.54561994,0.050007138,0.027284892,0.54557266,0.049851314,0.027197514,0.5455494,0.049385414,0.026942183,0.54553414,0.050618102,0.027613903,0.54553148,0.050147566,0.027357076,0.54550704,0.050773948,0.027697546
0.56436194,0.049995,0.028215275,0.56431542,0.049901988,0.028160461,0.56428566,0.04940186,0.027876761,0.56427614,0.05058305,0.028542808,0.56427612,0.050113048,0.028277596,0.56424712,0.050712958,0.02861464
0.58319626,0.050012932,0.029167355,0.58314134,0.049910638,0.029104956,0.58312188,0.04937653,0.028792535,0.5831051,0.050557272,0.029480203,0.5831028,0.050114616,0.029221973,0.58307838,0.050721712,0.029574734
0.60202218,0.050024414,0.030115807,0.60197336,0.04990599,0.030042076,0.60195656,0.04936074,0.029713021,0.60193062,0.050523292,0.030411516,0.60193062,0.05011328,0.030164718,0.60190506,0.050785666,0.030568149
0.62069476,0.04998582,0.031025937,0.62065164,0.049943952,0.030997796,0.62063598,0.049356292,0.030632291,0.6206089,0.05053192,0.031360559,0.62060622,0.050088464,0.031085212,0.62058296,0.050826398,0.031541997
0.63945506,0.049974576,0.031956495,0.63941078,0.049974576,0.031954283,0.63939742,0.049347416,0.03155261,0.63937492,0.050526626,0.032305457,0.63935966,0.050083598,0.032021432,0.63934402,0.05083188,0.032499059
0.65829128,0.049979686,0.032901191,0.65824318,0.049950948,0.032879871,0.6582321,0.049339304,0.032476714,0.65821112,0.050574998,0.033289026,0.65819588,0.050084304,0.032965283,0.65818022,0.050829308,0.033454845
0.67711376,0.04998064,0.033842579,0.67707138,0.049944526,0.033816009,0.67705648,0.049326808,0.033397035,0.6770355,0.05060065,0.034258436,0.67702752,0.050113152,0.033927983,0.67701146,0.050794004,0.034388123
0.69593966,0.049940756,0.034755753,0.695895,0.049893176,0.034720412,0.69587744,0.049320926,0.03432132,0.69586218,0.050592854,0.035205654,0.69584808,0.050092994,0.034857114,0.69583852,0.050757666,0.035319139
0.714777,0.049957284,0.035708318,0.71472702,0.049894598,0.035661017,0.71470602,0.049344252,0.035266634,0.71469382,0.050595154,0.036160044,0.7146782,0.050101308,0.035806313,0.71466406,0.05074959,0.036268908
0.7336094,0.050007174,0.036685733,0.73355522,0.04989694,0.036602161,0.73354224,0.049343312,0.036195404,0.73352394,0.050613028,0.037125868,0.73351288,0.0501008,0.036749582,0.7334957,0.050756722,0.037229837
0.75243682,0.050031472,0.037645522,0.752388,0.049853492,0.037509169,0.75237846,0.049312158,0.037101405,0.75235634,0.050603382,0.038071775,0.75233994,0.050150458,0.037730193,0.75233116,0.05080771,0.038224223
0.77119712,0.050037148,0.038588504,0.77114678,0.04984674,0.038439153,0.7711338,0.049325752,0.038036755,0.77111398,0.05059683,0.039015923,0.77109032,0.050135138,0.03865872,0.77108422,0.050872544,0.039227016
0.7899559,0.050050018,0.039537307,0.78990632,0.049818386,0.039351858,0.7898941,0.049343192,0.038975896,0.78987008,0.050572074,0.039945368,0.78985482,0.050102218,0.039573478,0.78983802,0.050838574,0.040154239
0.8087738,0.050030266,0.040463168,0.80872766,0.049798556,0.04027347,0.8087162,0.049355982,0.039914982,0.80868988,0.050576334,0.040900569,0.80868302,0.050065178,0.040486859,0.80866278,0.050762198,0.0410495
0.82759742,0.049949356,0.041337958,0.82755282,0.04983414,0.041240383,0.82753486,0.049303568,0.040800421,0.82751578,0.050572844,0.041849826,0.82750588,0.050026566,0.041397278,0.82748794,0.05075223,0.041996858
0.84627838,0.049903374,0.042232147,0.8462292,0.049896656,0.042224007,0.8462078,0.049306854,0.041723844,0.84618644,0.050598406,0.042815685,0.84617996,0.049997318,0.042306729,0.84616202,0.050692512,0.042894078
0.86509474,0.049871202,0.043143315,0.86504252,0.049912528,0.043176459,0.86502876,0.049319382,0.042662684,0.86500358,0.05057102,0.043744113,0.86500014,0.049991894,0.043242995,0.86497688,0.05067573,0.043833335
0.88389318,0.049900082,0.044106342,0.883836,0.049867858,0.044075008,0.88382416,0.049282766,0.043557299,0.8838028,0.050622026,0.044739888,0.88379362,0.050023288,0.044210263,0.88377952,0.050684362,0.044793801
0.90264242,0.049944568,0.045082086,0.90258486,0.049856878,0.045000063,0.90256996,0.049264072,0.044464271,0.90255052,0.050614336,0.045681995,0.90254018,0.050026434,0.045150867,0.90252648,0.050773726,0.045824632
0.92138402,0.049991934,0.046061769,0.92133066,0.049835602,0.045915068,0.92131654,0.04928611,0.045408108,0.92128602,0.050621998,0.046637339,0.92128102,0.0500557,0.046115366,0.92126464,0.050793452,0.046794211
0.94020918,0.050013752,0.047023389,0.94015772,0.049763996,0.046786005,0.94014246,0.049298734,0.046347833,0.94011384,0.050604522,0.047574011,0.94011152,0.050015812,0.047020441,0.94009056,0.050784684,0.047742202
0.95903282,0.050025186,0.047975795,0.95898134,0.049724144,0.047684526,0.95896304,0.049292486,0.047269672,0.9589386,0.050599542,0.048521854,0.95893706,0.050001456,0.047948249,0.95891876,0.050713314,0.048629948
0.97786556,0.049981964,0.048875641,0.97781454,0.049798098,0.048693304,0.9777961,0.049335984,0.048240533,0.97777108,0.050584032,0.049459604,0.97777104,0.049956056,0.048845585,0.97774316,0.050660954,0.049533401
0.99669304,0.049966118,0.049800882,0.99664118,0.04983429,0.049666906,0.9966236,0.049328948,0.049162394,0.99660006,0.050520636,0.050348869,0.9965955,0.050002602,0.049832368,0.99656748,0.050655464,0.050481588
1.01552312,0.049931954,0.050707054,1.01546712,0.049807734,0.050578116,1.01544462,0.04935676,0.050119056,1.01542974,0.050556646,0.051336722,1.01542518,0.050040574,0.050812459,1.01540492,0.050673556,0.051454178
1.03427512,0.049946286,0.051658201,1.03421898,0.049833732,0.051538991,1.03419768,0.049331652,0.05101868,1.03418402,0.050531254,0.052258615,1.03418242,0.050047064,0.051757794,1.03415834,0.05071001,0.05244218
1.053008,0.04997277,0.052621727,1.0529548,0.049819018,0.052457174,1.0529336,0.04935842,0.051971139,1.052916,0.0505853,0.053262072,1.0529134,0.05005112,0.052699495,1.0528854,0.050708288,0.053390016
