Device,C1,,Device,C1(SV1),,Device,C1(SV2),,Device,C2,,Device,C3,,Device,C3(SV1),,Device,C3(SV2),,Device,C4,,Device,C5,,Device,C5(SV2),,Device,C5(SV1),,Device,C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20171128,0.049217126,0.009927649,0.2018318,0.018993148,0.003833421,0.20183144,0.012484352,0.002519735,0.20164984,0.049381828,0.009957838,0.20156402,0.049010598,0.009878773,0.2016449,0.01925505,0.003882683,0.20167388,0.012470044,0.002514882,0.20156516,0.049995158,0.010077282,0.2015087,0.049083764,0.009890805,0.2016472,0.012512298,0.00252307,0.20161474,0.0193844,0.003908181,0.20149726,0.049966422,0.010068097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22181398,0.04921321,0.010916178,0.2219326,0.0189886,0.004214189,0.22193338,0.012479422,0.0027696,0.22175482,0.049353134,0.010944295,0.22165872,0.04899387,0.010859919,0.2217411,0.019247454,0.004267952,0.22177086,0.01245956,0.002763167,0.22166328,0.04996379,0.011075138,0.2216133,0.049073008,0.010875231,0.22174914,0.012503266,0.002772588,0.22171438,0.019382246,0.004297323,0.2215992,0.049955232,0.011070039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24199564,0.049184512,0.011902437,0.2421196,0.018982918,0.004596137,0.2421181,0.01246683,0.003018445,0.24193648,0.049346396,0.011938693,0.24184456,0.048994162,0.011848972,0.24192696,0.019234062,0.004653238,0.24195672,0.012453528,0.003013215,0.24184722,0.04994337,0.012078665,0.24179344,0.049082324,0.011867784,0.24193498,0.012488156,0.003021322,0.24189948,0.019388122,0.004689977,0.24178314,0.04989125,0.012062863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26210826,0.0491345,0.012878558,0.26223106,0.018986092,0.004978743,0.2622307,0.012457472,0.003266732,0.26204756,0.049352828,0.012932788,0.26196176,0.048957728,0.012825053,0.26203956,0.019215498,0.005035221,0.26207046,0.012447578,0.003262142,0.26195984,0.049944802,0.013083532,0.26190872,0.049094316,0.012858229,0.2620472,0.012478408,0.003269932,0.26201362,0.019386456,0.005079516,0.26189576,0.049897956,0.013068063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28222926,0.049110338,0.013860374,0.28234824,0.018984116,0.005360132,0.28235094,0.012461972,0.00351865,0.28216934,0.049362602,0.013928613,0.28208086,0.04894484,0.013806403,0.28216018,0.01918934,0.005414468,0.28218956,0.012444676,0.003511758,0.28208504,0.04994991,0.014090122,0.28203506,0.049099186,0.013847692,0.2821682,0.012463112,0.003516694,0.28213652,0.019386964,0.005469771,0.28201334,0.049920804,0.014078333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30242578,0.04909595,0.014847881,0.30254402,0.018967826,0.005738602,0.30254556,0.012464532,0.003771089,0.30237006,0.049341798,0.014919482,0.30227166,0.048969762,0.014802171,0.3023529,0.019185402,0.005800762,0.30238648,0.012441128,0.003762029,0.3022831,0.049976662,0.0151071,0.30223008,0.049062696,0.014828223,0.3023636,0.012450222,0.003764494,0.30233192,0.019364664,0.005854556,0.30221292,0.04993192,0.015090071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3226059,0.049078086,0.01583288,0.32272682,0.018972388,0.006122898,0.3227276,0.012456728,0.00402013,0.3225521,0.04933688,0.015913714,0.3224594,0.048979814,0.015794001,0.32253722,0.019198898,0.006192359,0.32257348,0.012430438,0.00400973,0.32246934,0.049985598,0.016118823,0.32241098,0.048994232,0.015796278,0.32254944,0.012454536,0.004017204,0.32251586,0.019342578,0.006238288,0.32239876,0.049940106,0.016100628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34272042,0.049082294,0.016821504,0.3428383,0.018965356,0.00650205,0.34284364,0.012451606,0.004268954,0.34266434,0.04929661,0.01689219,0.34257544,0.048966234,0.016774629,0.3426525,0.01921927,0.006585531,0.34268646,0.012423696,0.004257432,0.34258424,0.049985756,0.017124332,0.3425293,0.04890965,0.016752988,0.34266548,0.01246544,0.004271476,0.34263074,0.019335576,0.006624963,0.34251328,0.049975548,0.017117289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36282234,0.04909449,0.017812578,0.362941,0.018949546,0.006877567,0.36294596,0.01244542,0.004517015,0.36276628,0.049263104,0.017870993,0.36267584,0.048938138,0.01774868,0.36275672,0.019226342,0.006974485,0.36278916,0.012429532,0.004509299,0.36269112,0.049978238,0.018126663,0.36263314,0.04890307,0.017733874,0.36276932,0.012464894,0.004521881,0.36273114,0.019349458,0.007018651,0.36261176,0.04997871,0.018122868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38300208,0.049073196,0.018795136,0.38311694,0.01895017,0.007260131,0.38312226,0.012435804,0.004764433,0.38294908,0.049243626,0.018857801,0.38284872,0.048972728,0.018749146,0.38293038,0.019230204,0.007363829,0.38296394,0.012414404,0.004754269,0.3828663,0.050009258,0.01914686,0.3828064,0.048983888,0.018751346,0.3829464,0.012467556,0.004774406,0.3829067,0.019325732,0.007399952,0.38279264,0.04994362,0.01911805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
